year,sex,e0
1922,female,58.85
1923,female,61.18
1924,female,59.98
1925,female,60.34
1926,female,61.5
1927,female,60.92
1928,female,61.91
1929,female,59.6
1930,female,62.86
1931,female,62
1932,female,62.42
1933,female,62.49
1934,female,63.25
1935,female,63.94
1936,female,63.84
1937,female,63.87
1938,female,65.39
1939,female,65.8
1940,female,63.51
1941,female,64.11
1942,female,66.74
1943,female,66.67
1944,female,67.57
1945,female,68.32
1946,female,68.63
1947,female,68.79
1948,female,70.62
1949,female,70.3
1950,female,70.92
1951,female,70.68
1952,female,72.11
1953,female,72.36
1954,female,72.81
1955,female,72.77
1956,female,73.1
1957,female,73.32
1958,female,73.49
1959,female,73.6
1960,female,73.88
1961,female,73.65
1962,female,73.79
1963,female,73.72
1964,female,74.56
1965,female,74.58
1966,female,74.5
1967,female,75.09
1968,female,74.72
1969,female,74.78
1970,female,74.99
1971,female,75.33
1972,female,75.07
1973,female,75.28
1974,female,75.45
1975,female,75.71
1976,female,75.68
1977,female,76.14
1978,female,76.07
1979,female,76.19
1980,female,76.57
1981,female,76.88
1982,female,76.94
1983,female,77.22
1984,female,77.55
1985,female,77.36
1986,female,77.67
1987,female,77.96
1988,female,78.06
1989,female,78.08
1990,female,78.5
1991,female,78.61
1992,female,78.96
1993,female,78.77
1994,female,79.31
1995,female,79.19
1996,female,79.41
1997,female,79.59
1998,female,79.72
1999,female,79.76
2000,female,80.2
2001,female,80.43
2002,female,80.52
2003,female,80.49
2004,female,81.06
2005,female,81.2
2006,female,81.48
2007,female,81.62
2008,female,81.68
2009,female,82.2
2010,female,82.34
2011,female,82.72
2012,female,82.67
2013,female,82.77
2014,female,82.99
2015,female,82.72
2016,female,82.84
1922,male,55.18
1923,male,57.37
1924,male,56.15
1925,male,56.49
1926,male,57.59
1927,male,56.95
1928,male,57.87
1929,male,55.64
1930,male,58.66
1931,male,57.97
1932,male,58.58
1933,male,58.63
1934,male,59.32
1935,male,59.94
1936,male,59.63
1937,male,59.69
1938,male,61.04
1939,male,61.38
1940,male,58.17
1941,male,58.05
1942,male,60.64
1943,male,60.77
1944,male,61.37
1945,male,62.79
1946,male,63.71
1947,male,64.02
1948,male,66.01
1949,male,65.82
1950,male,66.24
1951,male,65.71
1952,male,66.83
1953,male,67.12
1954,male,67.41
1955,male,67.37
1956,male,67.59
1957,male,67.61
1958,male,67.79
1959,male,67.92
1960,male,68.04
1961,male,67.81
1962,male,67.83
1963,male,67.71
1964,male,68.41
1965,male,68.36
1966,male,68.28
1967,male,68.94
1968,male,68.56
1969,male,68.47
1970,male,68.69
1971,male,69.05
1972,male,68.84
1973,male,69.01
1974,male,69.22
1975,male,69.51
1976,male,69.53
1977,male,70
1978,male,69.94
1979,male,70.06
1980,male,70.51
1981,male,70.85
1982,male,71.03
1983,male,71.27
1984,male,71.68
1985,male,71.61
1986,male,71.82
1987,male,72.21
1988,male,72.34
1989,male,72.58
1990,male,72.84
1991,male,73.08
1992,male,73.51
1993,male,73.44
1994,male,74
1995,male,73.93
1996,male,74.22
1997,male,74.57
1998,male,74.72
1999,male,74.87
2000,male,75.38
2001,male,75.7
2002,male,75.85
2003,male,76.07
2004,male,76.63
2005,male,76.91
2006,male,77.12
2007,male,77.36
2008,male,77.55
2009,male,78.03
2010,male,78.36
2011,male,78.78
2012,male,78.96
2013,male,79
2014,male,79.25
2015,male,79.04
2016,male,79.18
1922,total,57.02
1923,total,59.3
1924,total,58.07
1925,total,58.42
1926,total,59.56
1927,total,58.95
1928,total,59.91
1929,total,57.62
1930,total,60.77
1931,total,60
1932,total,60.52
1933,total,60.58
1934,total,61.3
1935,total,61.96
1936,total,61.75
1937,total,61.79
1938,total,63.23
1939,total,63.61
1940,total,60.9
1941,total,61.29
1942,total,63.98
1943,total,64.04
1944,total,64.8
1945,total,65.76
1946,total,66.24
1947,total,66.44
1948,total,68.37
1949,total,68.11
1950,total,68.63
1951,total,68.24
1952,total,69.53
1953,total,69.8
1954,total,70.17
1955,total,70.13
1956,total,70.4
1957,total,70.52
1958,total,70.7
1959,total,70.83
1960,total,71.02
1961,total,70.79
1962,total,70.86
1963,total,70.76
1964,total,71.54
1965,total,71.52
1966,total,71.44
1967,total,72.08
1968,total,71.69
1969,total,71.67
1970,total,71.88
1971,total,72.24
1972,total,71.99
1973,total,72.19
1974,total,72.38
1975,total,72.65
1976,total,72.64
1977,total,73.11
1978,total,73.05
1979,total,73.16
1980,total,73.59
1981,total,73.92
1982,total,74.04
1983,total,74.3
1984,total,74.68
1985,total,74.54
1986,total,74.8
1987,total,75.15
1988,total,75.26
1989,total,75.4
1990,total,75.74
1991,total,75.91
1992,total,76.31
1993,total,76.16
1994,total,76.72
1995,total,76.62
1996,total,76.88
1997,total,77.14
1998,total,77.28
1999,total,77.38
2000,total,77.86
2001,total,78.13
2002,total,78.24
2003,total,78.34
2004,total,78.91
2005,total,79.12
2006,total,79.36
2007,total,79.55
2008,total,79.67
2009,total,80.17
2010,total,80.4
2011,total,80.8
2012,total,80.86
2013,total,80.93
2014,total,81.16
2015,total,80.91
2016,total,81.04
2017,female,82.98
2017,male,79.23
2017,total,81.13165327564894
